date,ticker,title,sentiment_label,sentiment_score,sentiment_confidence
2026-03-09,EWA,U.S. orders staff to leave Saudi Arabia as Iran war spreads and oil surges above $110,bearish,-0.857361750677228,0.8874064683914185
2026-03-09,GLD,U.S. orders staff to leave Saudi Arabia as Iran war spreads and oil surges above $110,bearish,-0.857361750677228,0.8874064683914185
2026-03-09,USO,U.S. orders staff to leave Saudi Arabia as Iran war spreads and oil surges above $110,bearish,-0.857361750677228,0.8874064683914185
2026-03-09,^AXJO,U.S. orders staff to leave Saudi Arabia as Iran war spreads and oil surges above $110,bearish,-0.857361750677228,0.8874064683914185
2026-03-09,GLD,Oil surges above $110 a barrel; Trump says 'small price to pay' for defeating Iran,bearish,-0.9616656610742211,0.968462347984314
2026-03-09,QQQ,Oil surges above $110 a barrel; Trump says 'small price to pay' for defeating Iran,bearish,-0.9616656610742211,0.968462347984314
2026-03-09,USO,Oil surges above $110 a barrel; Trump says 'small price to pay' for defeating Iran,bearish,-0.9616656610742211,0.968462347984314
2026-03-09,GLD,Asia markets tumble as oil nears $120; marks largest one day gain in almost 40 years,bullish,0.9117014668881893,0.940097451210022
2026-03-09,QQQ,Asia markets tumble as oil nears $120; marks largest one day gain in almost 40 years,bullish,0.9117014668881893,0.940097451210022
2026-03-09,SPY,Asia markets tumble as oil nears $120; marks largest one day gain in almost 40 years,bullish,0.9117014668881893,0.940097451210022
2026-03-09,USO,Asia markets tumble as oil nears $120; marks largest one day gain in almost 40 years,bullish,0.9117014668881893,0.940097451210022
2026-03-09,GLD,China consumer inflation hits three-year high as producer deflation eases,bullish,0.8563515804708004,0.9065559506416321
2026-03-09,QQQ,China consumer inflation hits three-year high as producer deflation eases,bullish,0.8563515804708004,0.9065559506416321
2026-03-09,SPY,China consumer inflation hits three-year high as producer deflation eases,bullish,0.8563515804708004,0.9065559506416321
2026-03-09,GLD,CNBC Daily Open: Oil surges past $100 per barrel as Iran war rages,neutral,-0.055869266390800476,0.46956175565719604
2026-03-09,QQQ,CNBC Daily Open: Oil surges past $100 per barrel as Iran war rages,neutral,-0.055869266390800476,0.46956175565719604
2026-03-09,USO,CNBC Daily Open: Oil surges past $100 per barrel as Iran war rages,neutral,-0.055869266390800476,0.46956175565719604
2026-03-09,GLD,"Airline shares battered as oil prices spike, Iran war intensifies",bearish,-0.9316025087609887,0.947119414806366
2026-03-09,QQQ,"Airline shares battered as oil prices spike, Iran war intensifies",bearish,-0.9316025087609887,0.947119414806366
