ticker,year,month,total_articles,avg_sentiment,median_sentiment,std_sentiment,bullish_count,bearish_count,neutral_count,avg_confidence,bullish_pct,bearish_pct,sentiment_bias,ticker_name,group,year_month
EWA,2022,2,1,0.6793219707906246,0.6793219707906246,,1,0,0,0.698508620262146,100.0,0.0,BULLISH,Australia ETF,Australia,2022-02
EWA,2022,4,3,0.2788012915601333,0.09131531417369843,0.4314827984383928,1,0,2,0.7688702344894409,33.3,0.0,BULLISH,Australia ETF,Australia,2022-04
EWA,2022,5,1,-0.58247309923172,-0.58247309923172,,0,1,0,0.7747064232826233,0.0,100.0,BEARISH,Australia ETF,Australia,2022-05
EWA,2022,8,1,0.09479275345802307,0.09479275345802307,,0,0,1,0.8176590800285339,0.0,0.0,BULLISH,Australia ETF,Australia,2022-08
EWA,2022,9,2,-0.45913536148145795,-0.45913536148145795,0.6973817995804421,0,1,1,0.9356122016906738,0.0,50.0,BEARISH,Australia ETF,Australia,2022-09
EWA,2022,10,1,-0.11249131709337234,-0.11249131709337234,,0,0,1,0.7014949321746826,0.0,0.0,BEARISH,Australia ETF,Australia,2022-10
EWA,2022,11,1,0.7082397229969501,0.7082397229969501,,1,0,0,0.7465132474899292,100.0,0.0,BULLISH,Australia ETF,Australia,2022-11
EWA,2022,12,2,-0.3491953597404063,-0.3491953597404063,0.5817202512854155,0,1,1,0.8490754961967468,0.0,50.0,BEARISH,Australia ETF,Australia,2022-12
EWA,2023,3,2,0.24382789386436343,0.24382789386436343,0.29423471415531444,0,0,2,0.5725012421607971,0.0,0.0,BULLISH,Australia ETF,Australia,2023-03
EWA,2023,4,2,0.06522031035274267,0.06522031035274267,0.31819322387586724,0,0,2,0.734671026468277,0.0,0.0,BULLISH,Australia ETF,Australia,2023-04
EWA,2023,5,3,-0.2739542592316866,0.041929157450795174,0.5779830292719375,0,1,2,0.9222398201624552,0.0,33.3,BEARISH,Australia ETF,Australia,2023-05
EWA,2023,6,3,0.01428249105811119,0.08423752710223198,0.8986890074464597,1,1,1,0.9025001923243204,33.3,33.3,NEUTRAL,Australia ETF,Australia,2023-06
EWA,2023,8,2,-0.4358488004654646,-0.4358488004654646,0.6034370478419258,0,1,1,0.9146791994571686,0.0,50.0,BEARISH,Australia ETF,Australia,2023-08
EWA,2023,9,2,-0.1567013906314969,-0.1567013906314969,1.1176457310516636,1,1,0,0.8259114921092987,50.0,50.0,BEARISH,Australia ETF,Australia,2023-09
EWA,2024,1,2,0.1613689661026001,0.1613689661026001,1.0079776858858407,1,1,0,0.8379308879375458,50.0,50.0,BULLISH,Australia ETF,Australia,2024-01
EWA,2026,2,260,0.13527341040961732,0.06978016812354326,0.4235160237765878,90,37,133,0.5827450116182893,34.6,14.2,BULLISH,Australia ETF,Australia,2026-02
EWA,2026,3,42,-0.2780578691113208,-0.21632211282849312,0.6000633183746806,7,21,14,0.8265497288444922,16.7,50.0,BEARISH,Australia ETF,Australia,2026-03
GLD,2022,1,13,-0.03539033391727851,0.02708042412996292,0.5703461784865757,4,5,4,0.7436407414766458,30.8,38.5,NEUTRAL,Gold,Commodities,2022-01
GLD,2022,2,35,-0.35619826668075155,-0.47029736638069153,0.5626680941740596,5,21,9,0.7875739778791155,14.3,60.0,BEARISH,Gold,Commodities,2022-02
GLD,2022,3,27,-0.14208510314562806,-0.02841060422360897,0.503461997963068,5,8,14,0.7798978940204337,18.5,29.6,BEARISH,Gold,Commodities,2022-03
GLD,2022,4,12,-0.3046852177164207,-0.13410590775310993,0.4450098071270295,0,5,7,0.8436807443698248,0.0,41.7,BEARISH,Gold,Commodities,2022-04
GLD,2022,5,25,-0.3800396608747542,-0.374601636081934,0.5161068251067755,2,12,11,0.8041730463504791,8.0,48.0,BEARISH,Gold,Commodities,2022-05
GLD,2022,6,26,-0.43963774368883324,-0.4017174895852804,0.4445906750617423,1,15,10,0.8094841654484088,3.8,57.7,BEARISH,Gold,Commodities,2022-06
GLD,2022,7,12,0.01836780272424221,0.021577022038400173,0.39199009733272,1,2,9,0.875313418606917,8.3,16.7,NEUTRAL,Gold,Commodities,2022-07
GLD,2022,8,14,-0.26413477857464124,-0.10472535900771618,0.620665029745287,3,6,5,0.7992084409509387,21.4,42.9,BEARISH,Gold,Commodities,2022-08
GLD,2022,9,32,-0.36682996424497105,-0.4746616631746292,0.5273206723504706,2,17,13,0.849133444018662,6.2,53.1,BEARISH,Gold,Commodities,2022-09
GLD,2022,10,13,-0.20247112744702742,-0.00535186193883419,0.5368136586976989,1,4,8,0.8450633837626531,7.7,30.8,BEARISH,Gold,Commodities,2022-10
GLD,2022,11,21,-0.11576378873238961,-0.05958952009677887,0.4637545806138505,2,5,14,0.8379405566624233,9.5,23.8,BEARISH,Gold,Commodities,2022-11
GLD,2022,12,21,-0.3651124315691136,-0.4954609274864197,0.5119774366248712,1,12,8,0.8297530100459144,4.8,57.1,BEARISH,Gold,Commodities,2022-12
GLD,2023,1,42,-0.2732979429752699,-0.22618776373565197,0.6400986987403362,9,20,13,0.8365900097858339,21.4,47.6,BEARISH,Gold,Commodities,2023-01
GLD,2023,2,37,-0.20116900773467244,-0.06588265858590603,0.5936840274596528,6,16,15,0.8235582475726669,16.2,43.2,BEARISH,Gold,Commodities,2023-02
GLD,2023,3,55,-0.29609239407899707,-0.20578433945775032,0.5960074001722182,9,27,19,0.8316577737981623,16.4,49.1,BEARISH,Gold,Commodities,2023-03
GLD,2023,4,31,-0.34160247937806193,-0.42099468410015106,0.5506358330805767,3,17,11,0.7947403288656666,9.7,54.8,BEARISH,Gold,Commodities,2023-04
GLD,2023,5,49,-0.10071246181519664,-0.03468337655067444,0.6255613659069771,11,16,22,0.8164334212030683,22.4,32.7,BEARISH,Gold,Commodities,2023-05
GLD,2023,6,37,0.014227647208482833,0.06136567145586014,0.5618647546238639,13,11,13,0.7829031646251678,35.1,29.7,NEUTRAL,Gold,Commodities,2023-06
GLD,2023,7,27,-0.27476414844945624,-0.29818685352802277,0.5978500437911684,6,14,7,0.7989623855661463,22.2,51.9,BEARISH,Gold,Commodities,2023-07
GLD,2023,8,36,-0.31143477264170843,-0.27838644199073315,0.6092763808514503,6,18,12,0.809529948565695,16.7,50.0,BEARISH,Gold,Commodities,2023-08
GLD,2023,9,36,-0.3871985943470564,-0.7930683717131615,0.6500233477635172,7,24,5,0.8125458616349432,19.4,66.7,BEARISH,Gold,Commodities,2023-09
GLD,2023,10,65,-0.35911087559965943,-0.44574995897710323,0.5529132036739031,10,38,17,0.779472493666869,15.4,58.5,BEARISH,Gold,Commodities,2023-10
GLD,2023,11,29,-0.0748300813138485,-0.021773427724838257,0.7519325163147997,10,12,7,0.8543542520753269,34.5,41.4,BEARISH,Gold,Commodities,2023-11
GLD,2023,12,25,0.2394264393299818,0.34194105863571167,0.6030018035598033,14,6,5,0.7743583106994629,56.0,24.0,BULLISH,Gold,Commodities,2023-12
GLD,2024,1,21,-0.047904985424663336,0.01922786608338356,0.6079954936016262,6,8,7,0.8073204769974663,28.6,38.1,NEUTRAL,Gold,Commodities,2024-01
GLD,2024,2,29,0.1046109523238807,0.04882382974028587,0.6056426466675525,12,8,9,0.7590394821660272,41.4,27.6,BULLISH,Gold,Commodities,2024-02
GLD,2024,3,6,0.07163165734770398,0.3500079216901213,0.8329155565637613,3,2,1,0.8575977484385172,50.0,33.3,BULLISH,Gold,Commodities,2024-03
GLD,2026,2,1734,0.11275995356624789,0.07426222320646048,0.41565662836051787,624,291,819,0.5791281192276666,36.0,16.8,BULLISH,Gold,Commodities,2026-02
GLD,2026,3,389,-0.3049388733163361,-0.42661505937576294,0.5868404994368583,64,220,105,0.7941729257644602,16.5,56.6,BEARISH,Gold,Commodities,2026-03
QQQ,2022,1,31,-0.17855067812507192,-0.0049355849623680115,0.5439280285345247,4,12,15,0.8175787733447167,12.9,38.7,BEARISH,Nasdaq-100,US,2022-01
